IT Arena,727,7143,Kyiv
Dia Sumit,1654,3726,Lviv
WWDC,3170,5489,London
Google I/O,5851,3400,New-York
IT Arena,9978,9231,Tokio
Dia Sumit,3772,2804,Kyiv
WWDC,8724,4532,Lviv
Google I/O,9481,8009,London
IT Arena,1737,3966,New-York
Dia Sumit,7305,4386,Tokio
WWDC,9671,8245,Kyiv
Google I/O,2775,4732,Lviv
IT Arena,6729,4502,London
Dia Sumit,7011,7838,New-York
WWDC,5084,4094,Tokio
Google I/O,8493,1131,Kyiv
IT Arena,7824,9164,Lviv
Dia Sumit,3680,3679,London
WWDC,2928,7263,New-York
Google I/O,565,3778,Tokio
IT Arena,1746,7992,Kyiv
Dia Sumit,9745,2952,Lviv
WWDC,3180,5643,London
Google I/O,3077,6956,New-York
IT Arena,7609,8686,Tokio
Dia Sumit,2324,5279,Kyiv
WWDC,9718,3328,Lviv
Google I/O,2448,3040,London
IT Arena,5993,7058,New-York
Dia Sumit,1182,1145,Tokio
WWDC,7372,8585,Kyiv
Google I/O,8835,5301,Lviv
IT Arena,5694,2724,London
Dia Sumit,6595,6570,New-York
WWDC,4539,1776,Tokio
Google I/O,1564,3758,Kyiv
IT Arena,3536,4395,Lviv
Dia Sumit,2439,2540,London
WWDC,8435,1681,New-York
Google I/O,5212,6113,Tokio
IT Arena,5091,4808,Kyiv
Dia Sumit,4404,9934,Lviv
WWDC,8667,6274,London
Google I/O,9913,9190,New-York
IT Arena,4634,9514,Tokio
Dia Sumit,1645,1823,Kyiv
WWDC,1486,8141,Lviv
Google I/O,5908,5124,London
IT Arena,2342,2398,New-York
Dia Sumit,4609,4086,Tokio
WWDC,1907,9693,Kyiv
Google I/O,4324,6437,Lviv
IT Arena,8225,7915,London
Dia Sumit,2626,6233,New-York
WWDC,6939,7723,Tokio
Google I/O,1142,6736,Kyiv
IT Arena,4606,7990,Lviv
Dia Sumit,778,4955,London
WWDC,9161,5631,New-York
Google I/O,491,4262,Tokio
IT Arena,3313,7362,Kyiv
Dia Sumit,1479,1896,Lviv
WWDC,6875,1298,London
Google I/O,4684,9749,New-York
IT Arena,1159,1933,Tokio
Dia Sumit,7472,5778,Kyiv
WWDC,7734,5315,Lviv
Google I/O,722,1741,London
